GISJOIN,ruggedness_mean
G1200870,0.07417529076337814
G1201230,0.14798909425735474
G1200570,0.32178813219070435
G1200630,0.5102588534355164
G1200790,0.42295917868614197
G1200810,0.20045670866966248
G1201290,0.19841496646404266
G1200010,0.3437578082084656
G1200390,1.0356674194335938
G1201310,0.827942430973053
G1200690,0.38331151008605957
G1200710,0.09158791601657867
G1200470,0.37770041823387146
G1200270,0.1302526444196701
G1301410,1.3838939666748047
G1300190,0.32496947050094604
G1303150,0.597733736038208
G1302090,0.7077735066413879
G1302110,1.299964427947998
G1300470,2.122215509414673
G1302930,1.9533666372299194
G1301590,1.560366153717041
G1302670,0.5194312334060669
G1300390,0.19339480996131897
G1302810,6.667046070098877
G1301570,1.5737968683242798
G1301190,1.9769401550292969
G1302070,1.575390338897705
G1302350,0.6220348477363586
G1302210,1.4104609489440918
G1303010,1.0878205299377441
G1301630,0.7458562254905701
G1302630,1.9464609622955322
G1302850,1.496167778968811
G1300350,1.3540253639221191
G1300850,3.588493824005127
G1300450,1.660865068435669
G1301130,1.1125203371047974
G1300770,1.3810590505599976
G1302290,0.21665534377098083
G1300930,0.517952024936676
G1302730,0.5447121262550354
G1300070,0.3582805097103119
G1301370,3.490534782409668
G1301170,1.845656156539917
G1302050,0.42881956696510315
G1302430,1.1256287097930908
G1302310,1.1606028079986572
G1300690,0.44599711894989014
G1300570,2.7100672721862793
G1301890,1.1140316724777222
G1301390,2.301391363143921
G1302910,5.304238796234131
G1302450,1.0333001613616943
G1303130,2.2403619289398193
G1301250,1.3161650896072388
G1300990,0.5076005458831787
G1301450,1.7003552913665771
G1301470,1.3075714111328125
G1301950,1.654288411140442
G1301430,2.053292751312256
G1300370,0.40074634552001953
G1301790,0.18074579536914825
G1300650,0.10277476161718369
G1300550,2.78084659576416
G1302170,1.342406988143921
G1301330,1.4043874740600586
G1303190,1.3452019691467285
G1300950,0.3457508385181427
G1302710,0.6353124976158142
G1301210,1.810710072517395
G1302970,1.2855099439620972
G1302490,1.2302122116088867
G1300870,0.5922824144363403
G1302590,1.866338849067688
G1302015,1.7455637454986572
G1300670,1.5998356342315674
G1303050,0.2314869612455368
G1300150,2.123793363571167
G1302370,1.4332329034805298
G1301930,0.8180914521217346
G1302470,1.5422922372817993
G1300510,0.2393484264612198
G1300210,1.0785845518112183
G1301810,1.1431057453155518
G1303210,0.578663170337677
G1300830,3.587888479232788
G1300490,0.15744896233081818
G1303030,1.001676082611084
G1300630,1.1577363014221191
G1300110,2.3032712936401367
G1301770,0.3868611752986908
G1301550,0.5848339200019836
G1300290,0.1843220293521881
G1301690,1.6630637645721436
G1302130,3.6109347343444824
G1300330,0.6843889355659485
G1301510,1.2351570129394531
G1302190,1.3926665782928467
G1300890,1.6063953638076782
G1302550,1.1624083518981934
G1301870,4.631927490234375
G1301050,1.544783353805542
G1301530,0.8053150773048401
G1300310,0.4422834813594818
G1300010,0.380696564912796
G1302750,0.6832214593887329
G1301750,0.7024596929550171
G1300590,1.5059282779693604
G1301270,0.17761212587356567
G1302010,0.2725848853588104
G1303110,4.538607120513916
G1302610,0.6860783100128174
G1300970,2.0075457096099854
G1300790,1.3697504997253418
G1302950,2.94521427154541
G1301490,1.9691333770751953
G1300910,0.7151422500610352
G1302990,0.122957244515419
G1300710,0.5151987075805664
G1302650,1.3189724683761597
G1302410,6.358216762542725
G1300270,0.5405364036560059
G1302510,0.5064902305603027
G1301850,0.3455539345741272
G1301110,5.269536018371582
G1302890,1.2385897636413574
G1301670,0.7323616743087769
G1302390,1.7378793954849243
G1301230,5.180446624755859
G1300610,1.236316442489624
G1301350,1.566436529159546
G1300730,1.291760802268982
G1301070,0.6555572152137756
G1302150,1.3925875425338745
G1301970,1.539916753768921
G1300530,1.7433388233184814
G1301010,0.13995160162448883
G1301030,0.23347599804401398
G1302230,2.2772860527038574
G1303070,1.0905348062515259
G1301990,1.318925380706787
G1301150,2.1760098934173584
G1302330,2.178281784057617
G1301910,0.16949190199375153
G1302270,3.8971569538116455
G1302690,1.186224102973938
G1300090,1.4098001718521118
G1300395,1.6637318134307861
G1301290,2.19876766204834
G1303170,1.350853681564331
G1600635,1.252617359161377
G1600110,2.6115405559539795
G1600490,8.556077003479004
G1600590,7.28971529006958
G1600710,3.800499200820923
G1600730,2.1638033390045166
G1600010,1.5313668251037598
G1600370,7.287434101104736
G1600790,8.163168907165527
G1600150,7.026116371154785
G1600550,5.42841100692749
G1600310,2.3487253189086914
G1600570,3.969918727874756
G1600870,5.075561046600342
G1600690,4.931301116943359
G1600035,6.6044816970825195
G1600070,4.056859493255615
G1600390,5.294398784637451
G1700390,0.40045541524887085
G1700570,1.1719061136245728
G1701850,0.45137670636177063
G1701230,0.7583208084106445
G1701970,0.4870360791683197
G1700190,0.24953269958496094
G1701110,0.5454301834106445
G1701190,0.7154895067214966
G1700930,0.4319906532764435
G1701950,0.5583853125572205
G1701010,0.42333346605300903
G1700770,1.3946655988693237
G1701290,0.6184948086738586
G1700490,0.5118982791900635
G1700050,0.5504582524299622
G1700630,0.3098102807998657
G1700590,0.7375004887580872
G1701590,0.42835476994514465
G1701890,0.4173995554447174
G1700910,0.24225999414920807
G1701250,0.3784398138523102
G1701450,0.5970163345336914
G1700670,0.8088802099227905
G1701510,1.9537663459777832
G1700370,0.383056640625
